District,State,Political outlook,Leadership and Title ,First Name,Last Name,Nickname,Party ,H.R.6408 (Vote Held),H.R.7921         (No Vote Held),H. R. 6090 (Vote Held),H.R.666              (No Vote Held),H.R. 4627             (No Vote Held),H.Res.786            (No Vote Held),H.Res.845 (Vote Held) ,H.R. 3985       (No Vote Held),H. Res. 989       (No Vote Held),H.R. 4639       (No Vote Held),H.R.6126 (Vote Held),H.R.635 (No Vote Held),H.Res.246 (No Vote Held),H.Res.76 (Vote Held),H.R.556 (No Vote Held),H. Res. 414 (No Vote Held) ,H.R. 1511 (No Vote Held),H.R.1325 (No Vote Held),H.R.8034 (Vote Held),,"Letter Condemning Hamas Attacks, Urging Protection of Innocent Civilian Lives",Lawmakers Seek Information from Big Banks on Account Closure Practices that Discriminate Against Muslim Americans,"Lawmakers Raise Concern over Accuracy, Due Process, Civil Rights Violations with Terrorism Watchlist",Discharge Petition No. 9: Motion to Discharge a Committee from the Consideration of a Resolution,,,Headshot URL
WI05,WI,Up for re-election in 2024,Rep. ,Scott,Fitzgerald,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Scott,Fitzgerald,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Scott_Fitzgerald_Official_Portrait_%28cropped%29.jpg/75px-Scott_Fitzgerald_Official_Portrait_%28cropped%29.jpg
PA01,PA,Up for re-election in 2024,Rep. ,Brian,Fitzpatrick,,R,Y,(C),Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Brian,Fitzpatrick,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Brian_Fitzpatrick_official_congressional_photo_%28cropped%29.jpg/75px-Brian_Fitzpatrick_official_congressional_photo_%28cropped%29.jpg
TN03,TN,Up for re-election in 2024,Rep. ,Charles,Fleischmann,Chuck,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Charles,Fleischmann,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Chuck_Fleischmann_118th_Congress_%28cropped%29.jpg/75px-Chuck_Fleischmann_118th_Congress_%28cropped%29.jpg
TX07,TX,Up for re-election in 2024,Rep. ,Elizabeth,Fletcher,Lizzie,D,Y,(C),Y,,,,N,,(C),,N,,,N,,,,,Y,,,,,Signed,Elizabeth,Fletcher,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Lizzie_Fletcher%2C_official_portrait%2C_116th_Congress_%28cropped_2%29.jpg/75px-Lizzie_Fletcher%2C_official_portrait%2C_116th_Congress_%28cropped_2%29.jpg
NE01,NE,Up for re-election in 2024,Rep. ,Michael,Flood,Mike,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Flood,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Mike_Flood_117th_Congress_%28cropped%29.jpeg/75px-Mike_Flood_117th_Congress_%28cropped%29.jpeg
IL11,IL,Up for re-election in 2024,Rep. ,Bill,Foster,,D,Y,,N,,,,N,,,,N,,,N,,,,,Y,,Signed,,,Signed,Bill,Foster,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bill_Foster%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg/75px-Bill_Foster%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg
NC04,NC,Up for re-election in 2024,Rep. ,Valerie,Foushee,,D,Y,,N,,,,N,,,,N,,,N,,,(C),,Y,,,,,Signed,Valerie,Foushee,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/U.S._Rep._Valerie_Foushee_-_118th_Congress_%28cropped%29.jpg/75px-U.S._Rep._Valerie_Foushee_-_118th_Congress_%28cropped%29.jpg
NC05,NC,Up for re-election in 2024,Rep. ,Virginia,Foxx,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Virginia,Foxx,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Virginia_Foxx_official_photo_%28cropped%29.jpg/75px-Virginia_Foxx_official_photo_%28cropped%29.jpg
FL22,FL,Up for re-election in 2024,Rep. ,Lois,Frankel,,D,Not voting,(C),Y,(C),,,Y,,,,Y,,,N,,,,,Y,,,,,,Lois,Frankel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Lois_Frankel%2C_Official_portrait%2C_113th_Congress_%28cropped%29.jpg/75px-Lois_Frankel%2C_Official_portrait%2C_113th_Congress_%28cropped%29.jpg
FL18,FL,Up for re-election in 2024,Rep. ,Clifford,Franklin,Scott,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Clifford,Franklin,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Scott_Franklin%2C_117th_Congress_portrait_%28cropped%29.jpg/75px-Scott_Franklin%2C_117th_Congress_portrait_%28cropped%29.jpg
FL10,FL,Up for re-election in 2024,Rep. ,Maxwell,Frost,,D,Y,,N,,,,N,,,,N,,,N,,,(C),,N,,Signed,,,,Maxwell,Frost,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Rep._Maxwell_Frost_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Maxwell_Frost_-_118th_Congress_%28cropped%29.jpg
SC07,SC,Up for re-election in 2024,Rep. ,Russell,Fry,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Russell,Fry,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Rep_Russell_Fry_Offficial_Portrait_%28cropped%29.jpg/75px-Rep_Russell_Fry_Offficial_Portrait_%28cropped%29.jpg
ID01,ID,Up for re-election in 2024,Rep. ,Russell,Fulcher,Russ,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Russell,Fulcher,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Russ_Fulcher%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Russ_Fulcher%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
FL01,FL,Up for re-election in 2024,Rep. ,Matthew,Gaetz,Matt,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Matthew,Gaetz,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Matt_Gaetz_117th_Congress_portrait_%28head_crop%29.jpg/75px-Matt_Gaetz_117th_Congress_portrait_%28head_crop%29.jpg
WI08,WI,Retiring at the end of current term,Rep. ,Mike,Gallagher,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Mike,Gallagher,
AZ03,AZ,Running for Senate in 2024,Rep. ,Ruben,Gallego,,D,Y,,Y,(C),,,N,,,,N,,,N,,,,,Y,,,,,Signed,Ruben,Gallego,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ruben_Gallego_official_portrait_%28cropped%29.jpg/75px-Ruben_Gallego_official_portrait_%28cropped%29.jpg
CA08,CA,Up for re-election in 2024,Rep. ,John,Garamendi,,D,Y,,N,,,,N,,,,N,,,N,,,,,N,,,,,Signed,John,Garamendi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Garamendi_official_photo_%28cropped%29.jpg/75px-John_Garamendi_official_photo_%28cropped%29.jpg
NY02,NY,Up for re-election in 2024,Rep. ,Andrew,Garbarino,,R,Y,(C),Y,,,,Y,,,,Not voting,,,Y,,,,,Y,,,,,,Andrew,Garbarino,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Andrew_Garbarino_117th_U.S_Congress_%28cropped%29.jpg/75px-Andrew_Garbarino_117th_U.S_Congress_%28cropped%29.jpg
TX29,TX,Up for re-election in 2024,Rep. ,Sylvia,Garcia,,D,Y,,N,(C),,,N,,,,N,,,N,,,(C),,Y,,Signed,,,Signed,Sylvia,Garcia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Sylvia_Garcia%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Sylvia_Garcia%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
IL04,IL,Up for re-election in 2024,Rep. ,Jesus,Garcia,Chuy,D,N,,N,(C),,(C),N,(C),,,N,,,N,,,(C),(C),N,,Signed,,,,Jesus,Garcia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Chuy_Garcia_official_portrait_%28cropped%29.jpg/75px-Chuy_Garcia_official_portrait_%28cropped%29.jpg
CA27,CA,Up for re-election in 2024,Rep. ,Michael,Garcia,Mike,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Garcia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Mike_Garcia%2C_official_portrait%2C_116th_Congress_%28cropped1%29_%28cropped%29.jpg/75px-Mike_Garcia%2C_official_portrait%2C_116th_Congress_%28cropped1%29_%28cropped%29.jpg
CA42,CA,Up for re-election in 2024,Rep. ,Robert,Garcia,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,Signed,,,Signed,Robert,Garcia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Rep._Robert_Garcia_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Robert_Garcia_-_118th_Congress_%28cropped%29.jpg
FL28,FL,Up for re-election in 2024,Rep. ,Carlos,Gimenez,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Carlos,Gimenez,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rep._Carlos_Gimenez_official_photo%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Carlos_Gimenez_official_photo%2C_117th_Congress_%28cropped%29.jpg
WA03,WA,Up for re-election in 2024,Rep. ,Marie,Gluesenkamp Perez,,D,,,Y,,,,Y,,,,,,,,,,,,,,,,,Signed,Marie,Gluesenkamp Perez,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Rep._Marie_Gluesenkamp_Perez_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Marie_Gluesenkamp_Perez_-_118th_Congress_%28cropped%29.jpg
ME02,ME,Up for re-election in 2024,Rep. ,Jared,Golden,,D,Y,,Y,,(C),,Y,,,,Y,,,N,,,,,Y,,,,,,Jared,Golden,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Jared_Golden_117th_Congress_portrait_%28cropped%29.jpeg/75px-Jared_Golden_117th_Congress_portrait_%28cropped%29.jpeg
NY10,NY,Up for re-election in 2024,Rep. ,Daniel,Goldman,Dan,D,Y,(C),Y,(C),,,Y,,,,N,,,N,,,(C),(C),Y,,,,,Signed,Daniel,Goldman,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Daniel_Goldman_Portrait_%28cropped%29.jpg/76px-Daniel_Goldman_Portrait_%28cropped%29.jpg
CA34,CA,Up for re-election in 2024,Rep. ,Jimmy,Gomez,,D,Y,,Y,,,,N,,,,N,,,N,,,(C),,Y,,,,,,Jimmy,Gomez,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Jimmy_Gomez_official_portrait_%28cropped%29.jpg/75px-Jimmy_Gomez_official_portrait_%28cropped%29.jpg
TX23,TX,Up for re-election in 2024,Rep. ,Anthony,Gonzales,Tony,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Anthony,Gonzales,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Tony-Gonzales-Congress_%28cropped%29.jpg/75px-Tony-Gonzales-Congress_%28cropped%29.jpg
TX34,TX,Up for re-election in 2024,Rep. ,Vicente,Gonzalez,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Vicente,Gonzalez,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Rep._Vicente_Gonzalez%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Vicente_Gonzalez%2C_118th_Congress_%28cropped%29.jpg
PR01,PR,Up for re-election in 2024,Rep. ,Jenniffer,Gonzalez Colon,,R,,,Y,,(C),,,,,,Y(C),,,,,,,,Y,,,,,,Jenniffer,Gonzalez Colon,
VA05,VA,Up for re-election in 2024,Rep. ,Bob,Good,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Bob,Good,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Bob_Good_117th_U.S_Congress_%28cropped%29.jpg/75px-Bob_Good_117th_U.S_Congress_%28cropped%29.jpg
TX05,TX,Up for re-election in 2024,Rep. ,Lance,Gooden,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Lance,Gooden,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Lance_Gooden%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Lance_Gooden%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
AZ09,AZ,Up for re-election in 2024,Rep. ,Paul,Gosar,,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Paul,Gosar,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Paul_Gosar_official_portrait_September_2016_%28loose_crop%29.jpg/75px-Paul_Gosar_official_portrait_September_2016_%28loose_crop%29.jpg
NJ05,NJ,Up for re-election in 2024,Rep. ,Josh,Gottheimer,,D,Y,(C),Y,,,,Y,,(C),,Y,,,N,,,,,Y,,,,,Signed,Josh,Gottheimer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Josh_Gottheimer_Photo_%28cropped%29.jpg/75px-Josh_Gottheimer_Photo_%28cropped%29.jpg
TX12,TX,Retiring at the end of current term,Rep. ,Kay,Granger,,R,Not voting,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Kay,Granger,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Kay_Granger%2C_116th_Congress%2C_photo_%28cropped%29.jpg/75px-Kay_Granger%2C_116th_Congress%2C_photo_%28cropped%29.jpg
MO06,MO,Up for re-election in 2024,Rep. ,Samuel,Graves,Sam,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Samuel,Graves,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Sam_Graves_117thCong_%28cropped%29.jpeg/75px-Sam_Graves_117thCong_%28cropped%29.jpeg
LA06,LA,Up for re-election in 2024,Rep. ,Garret,Graves,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Garret,Graves,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Garret_Graves_official_congressional_photo_%28cropped%29.jpg/75px-Garret_Graves_official_congressional_photo_%28cropped%29.jpg
TX09,TX,Up for re-election in 2024,Rep. ,Al,Green,,D,Not voting,,N,,,,N,(C),,,N,(S),(C),N,(C),(C),,,N,,,,,Signed,Al,Green,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Al_Green_Official_%28cropped_2%29.jpg/75px-Al_Green_Official_%28cropped_2%29.jpg
TN07,TN,Up for re-election in 2024,Rep. ,Mark,Green,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Mark,Green,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Mark_Green%2C_official_portrait%2C_116th_Congress_%28cropped_2%29.jpg/75px-Mark_Green%2C_official_portrait%2C_116th_Congress_%28cropped_2%29.jpg
GA14,GA,Up for re-election in 2024,Rep. ,Marjorie,Greene,,R,Y,,N,,,,Y,,,,N,,,Y,,,,,N,,,,,,Marjorie,Greene,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Marjorie_Taylor_Greene_117th_Congress_portrait_%28tight_crop%29.jpeg/75px-Marjorie_Taylor_Greene_117th_Congress_portrait_%28tight_crop%29.jpeg
VA09,VA,Up for re-election in 2024,Rep. ,Morgan,Griffith,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Morgan,Griffith,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/H._Morgan_Griffith_118th_Congress_%28tight_crop%29.jpg/75px-H._Morgan_Griffith_118th_Congress_%28tight_crop%29.jpg
AZ07,AZ,Up for re-election in 2024,Rep. ,Raul,Grijalva,,D,Not voting,,Y,(C),,,N,(C),(C),,N,,(C) ,N,(C),,(C),(C),Not Voting,,Signed,,,,Raul,Grijalva,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ra%C3%BAl_Grijalva%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg/75px-Ra%C3%BAl_Grijalva%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg
WI06,WI,Up for re-election in 2024,Rep. ,Glenn,Grothman,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Glenn,Grothman,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Glenn_Grothman_117th_Congress_portrait_%28cropped%29.jpg/75px-Glenn_Grothman_117th_Congress_portrait_%28cropped%29.jpg
MS03,MS,Up for re-election in 2024,Rep. ,Michael,Guest,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Guest,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Rep._Michael_Guest_official_photo2_%28cropped%29.jpg/75px-Rep._Michael_Guest_official_photo2_%28cropped%29.jpg
KY02,KY,Up for re-election in 2024,Rep. ,Brett,Guthrie,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Brett,Guthrie,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Brett_Guthrie%2C_Official_Photo_%28cropped%29.jpg/75px-Brett_Guthrie%2C_Official_Photo_%28cropped%29.jpg
WY01,WY,Up for re-election in 2024,Rep. ,Harriet,Hageman,,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Harriet,Hageman,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Official-harriet-hageman-wy00_%28cropped%29.jpg/75px-Official-harriet-hageman-wy00_%28cropped%29.jpg
CA09,CA,Up for re-election in 2024,Rep. ,Josh,Harder,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Josh,Harder,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Josh_Harder%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Josh_Harder%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
MD01,MD,Up for re-election in 2024,Rep. ,Andrew,Harris,Andy,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,N,,,,,,Andrew,Harris,
TN01,TN,Up for re-election in 2024,Rep. ,Diana,Harshbarger,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Diana,Harshbarger,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Diana_Harshbarger_117th_U.S_Congress_%28cropped%29.jpg/75px-Diana_Harshbarger_117th_U.S_Congress_%28cropped%29.jpg
CT05,CT,Up for re-election in 2024,Rep. ,Jahana,Hayes,,D,Y,,Y,,,,N,,,,N,,(C),N,,,,,Y,,,,,Signed,Jahana,Hayes,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Jahana_Hayes%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Jahana_Hayes%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
OK01,OK,Up for re-election in 2024,Rep. ,Kevin,Hern,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Kevin,Hern,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Rep._Kevin_Hern_official_photo%2C_116th_congress_%28cropped%29.jpg/75px-Rep._Kevin_Hern_official_photo%2C_116th_congress_%28cropped%29.jpg
LA03,LA,Up for re-election in 2024,Rep. ,Clay,Higgins,,R,Not voting,,N,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Clay,Higgins,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Clay_Higgins_official_portrait_%28cropped%29.jpeg/75px-Clay_Higgins_official_portrait_%28cropped%29.jpeg
AR02,AR,Up for re-election in 2024,Rep. ,James,Hill,French,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,James,Hill,
CT04,CT,Up for re-election in 2024,Rep. ,James,Himes,Jim,D,Not voting,,Y,,,,N,,,,N,,(C),N,,,,(C),Y,,,,,Signed,James,Himes,
IA02,IA,Up for re-election in 2024,Rep. ,Ashley,Hinson,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Ashley,Hinson,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Ashley_Hinson_Official_portrait_%28cropped%29.jpg/75px-Ashley_Hinson_Official_portrait_%28cropped%29.jpg
NV04,NV,Up for re-election in 2024,Rep. ,Steven,Horsford,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Steven,Horsford,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Steven_Horsford%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Steven_Horsford%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
IN09,IN,Up for re-election in 2024,Rep. ,Erin,Houchin,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Erin,Houchin,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Rep._Erin_Houchin_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Erin_Houchin_official_photo%2C_118th_Congress_%28cropped%29.jpg
PA06,PA,Up for re-election in 2024,Rep. ,Christina,Houlahan,Chrissy,D,Y,,Y,,(C),,N,,,,N,,,N,,,,,Y,,,,,Signed,Christina,Houlahan,
MD05,MD,Up for re-election in 2024,Rep. ,Steny,Hoyer,,D,Y,(C),Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Steny,Hoyer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Steny_Hoyer%2C_official_photo_as_Whip_%28cropped%29.jpg/75px-Steny_Hoyer%2C_official_photo_as_Whip_%28cropped%29.jpg
OR04,OR,Up for re-election in 2024,Rep. ,Val,Hoyle,,D,Y,,N,,,,N,,,,N,,,N,,,,,Y,,Signed,,,Signed,Val,Hoyle,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Rep._Val_Hoyle_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Val_Hoyle_-_118th_Congress_%28cropped%29.jpg
NC09,NC,Up for re-election in 2024,Rep. ,Richard,Hudson,,R,Not voting,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Richard,Hudson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Richard_Hudson_official_photo_%28cropped%29.jpg/75px-Richard_Hudson_official_photo_%28cropped%29.jpg
CA02,CA,Up for re-election in 2024,Rep. ,Jared,Huffman,,D,Not voting,,Y,,,,N,,,,N,,,N,,,(C),,Y,,Signed,,,Signed,Jared,Huffman,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Jared_Huffman_Portrait_118_%28cropped%29.jpg/75px-Jared_Huffman_Portrait_118_%28cropped%29.jpg
MI04,MI,Up for re-election in 2024,Rep. ,William,Huizenga,Bill,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,William,Huizenga,
TX38,TX,Up for re-election in 2024,Rep. ,Wesley,Hunt,,R,Not voting,,N,,,,Y,,,,Y(C),,,,,,,,Not Voting,,,,,,Wesley,Hunt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Rep._Wesley_Hunt_official_photo_%28cropped%29.jpg/75px-Rep._Wesley_Hunt_official_photo_%28cropped%29.jpg
CA48,CA,Up for re-election in 2024,Rep. ,Darrell,Issa,,R,Y,,Y,,,,Y(C),,,,Y(C),,,Y,,,,,Y,,,,,,Darrell,Issa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Darrell_Issa_117th_Congress_%28cropped%29.jpg/75px-Darrell_Issa_117th_Congress_%28cropped%29.jpg
MD04,MD,Up for re-election in 2024,Rep. ,Glenn,Ivey,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Glenn,Ivey,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Rep._Glenn_Ivey_official_portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Glenn_Ivey_official_portrait%2C_118th_Congress_%28cropped%29.jpg
TX13,TX,Up for re-election in 2024,Rep. ,Ronny,Jackson,,R,Y,,Y,,,,Y,(C),,,Y(C),,,Y,,,,,Y,,,,,,Ronny,Jackson,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Ronny_Jackson_117th_U.S_Congress_%28cropped%29.jpg/75px-Ronny_Jackson_117th_U.S_Congress_%28cropped%29.jpg
NC14,NC,Running for North Carolina Attorney General,Rep. ,Jeff,Jackson,,D,Y,,Y,,(C),,N,,,,N,,,N,,,,,Y,,,,,Signed,Jeff,Jackson,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Rep._Jeff_Jackson_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Jeff_Jackson_-_118th_Congress_%28cropped%29.jpg
IL01,IL,Up for re-election in 2024,Rep. ,Jonathan,Jackson,,D,Y,,N,,,(C),N,,,,N,,,N,,(C),,,N,,,,,Signed,Jonathan,Jackson,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Rep._Jonathan_Jackson_official_portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Jonathan_Jackson_official_portrait%2C_118th_Congress_%28cropped%29.jpg
TX18,TX,Up for re-election in 2024,Rep. ,Sheila,Jackson Lee,,D,Not voting,,Y,(C),,,Not voting,,,,Not voting,,,N,,,(C),,Y,,,,,Signed,Sheila,Jackson Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Sheila_Jackson_Lee_116th_Congress_%28cropped%29.jpg/75px-Sheila_Jackson_Lee_116th_Congress_%28cropped%29.jpg
CA51,CA,Up for re-election in 2024,Rep. ,Sara,Jacobs,,D,Y,,N,(C),,,N,(C),,(C),N,,,N,,,,,Y,,Signed,,,Signed,Sara,Jacobs,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Congresswoman_Sara_Jacobs.jpg/75px-Congresswoman_Sara_Jacobs.jpg
MI10,MI,Up for re-election in 2024,Rep. ,John,James,,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,John,James,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Rep._John_James_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._John_James_official_photo%2C_118th_Congress_%28cropped%29.jpg
WA07,WA,Up for re-election in 2024,Rep. ,Pramila,Jayapal,,D,Y,,N,(S),(C),(C),N,(C),,(C),N,,(C),N,,,(C),,N,,Signed,,,,Pramila,Jayapal,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Pramila_Jayapal%2C_official_portrait%2C_116th_Congress_%28cropped%29_2.jpg/75px-Pramila_Jayapal%2C_official_portrait%2C_116th_Congress_%28cropped%29_2.jpg
NY08,NY,Up for re-election in 2024,Minority Leader Rep. ,Hakeem,Jeffries,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Hakeem,Jeffries,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Rep-Hakeem-Jeffries-Official-Portrait-1638x2048_%28cropped%29.jpg/75px-Rep-Hakeem-Jeffries-Official-Portrait-1638x2048_%28cropped%29.jpg
GA04,GA,Up for re-election in 2024,Rep. ,Henry,Johnson,Hank,D,Y,,N,(C),,(C),N,(C),(C),,N,,(C),N,(C),,(C),(C),N,,Signed,,,Signed,Henry,Johnson,
LA04,LA,Up for re-election in 2024,Speaker of the House Rep. ,Mike,Johnson,,R,,,Y,,,,,,,,Y,,,Y,,,,,Y,,,,,,Mike,Johnson,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Mike_Johnson_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Mike_Johnson_official_photo%2C_118th_Congress_%28cropped%29.jpg
