First Name,Last Name,Headshot,State,Political outlook,Leadership Position,Nickname,Party ,District,S.4091,S.4127,S. 1916,S. 2327,S. Res. 534,S.3168,S.Res.504,Letter A,Letter B,Letter C,Letter D
Charles,Schumer,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Chuck_Schumer_official_photo_%28cropped%29.jpg/95px-Chuck_Schumer_official_photo_%28cropped%29.jpg,NY,Up for re-election in 2028,Senate Majority Leader,Chuck,D,NYS01,(C),,,,,,Y,,,,
Christopher,Coons,//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,DE,Up for re-election in 2026,,Chris,D,DES02,(C),(C),,(C),,,Not Voting,,,,
Christopher,Murphy,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,CT,Up for re-election in 2024,,Chris,D,CTS02,,,,,(C),,Y,,,,
Christopher,Van Hollen,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg/95px-Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg,MD,Up for re-election in 2028,,Chris,D,MDS02,,,(C),,(C),,N,,,,
Chuck,Grassley,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Chuck_Grassley_official_photo_2017_%28cropped%29.jpg/95px-Chuck_Grassley_official_photo_2017_%28cropped%29.jpg,IA,Up for re-election in 2028,,,R,IAS01,,(C),,,,,Not Voting,,,,
Cindy,Hyde-Smith,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Official_headshot_of_US_Senator_Cindy_Hyde-Smith_%28cropped%29.jpg/95px-Official_headshot_of_US_Senator_Cindy_Hyde-Smith_%28cropped%29.jpg,MS,Up for re-election in 2026,,,R,MSS02,,,,,,,Not Voting,,,,
Cory,Booker,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/95px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg,NJ,Up for re-election in 2026,,,D,NJS02,(C),,(S),,(S),,Y,,,,Signed
Cynthia,Lummis,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Cynthia_Lummis_U.S._Senator_%28cropped%29.jpg/95px-Cynthia_Lummis_U.S._Senator_%28cropped%29.jpg,WY,Up for re-election in 2026,,,R,WYS02,,,,,,(C),Y,,,,
Daniel,Sullivan,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Senator_Dan_Sullivan_official_%28cropped%29.jpg/95px-Senator_Dan_Sullivan_official_%28cropped%29.jpg,AK,Up for re-election in 2026,,Dan,R,AKS02,,,,,,,Not Voting,,,,
Deborah,Stabenow,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%284x5_crop%29.jpg/95px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%284x5_crop%29.jpg,MI,Retiring at end of current term,,Debbie,D,MIS01,,,,,,,Y,,,,
Debra,Fischer,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg/95px-Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,NE,Up for re-election in 2024,,Deb,R,NES01,,,,,,,Y,,,,
Dianne,Feinstein,//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Sen._Thom_Tillis_official_photo_%28cropped%29.jpg/95px-Sen._Thom_Tillis_official_photo_%28cropped%29.jpg,CA,"Died September 28, 2023",,,D,CAS01,,,,,,,Y,,,,
Edward,Markey,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/95px-Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,MA,Up for re-election in 2026,,Ed,D,MAS02,,,,,,,N,,,,
Elizabeth,Warren,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Elizabeth_Warren--2016_Official_Portrait--%28cropped%29_%28cropped%29.jpg/95px-Elizabeth_Warren--2016_Official_Portrait--%28cropped%29_%28cropped%29.jpg,MA,Up for re-election in 2024,,,D,MAS01,,,,,,,N,,Signed,Signed,Signed
Eric,Schmitt,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Sen._Eric_Schmitt%2C_official_portrait%2C_118th_Congress_%28cropped_2%29.jpg/95px-Sen._Eric_Schmitt%2C_official_portrait%2C_118th_Congress_%28cropped_2%29.jpg,MO,Up for re-election in 2028,,,R,MOS02,,,,,,,Not Voting,,,,
Gary,Peters,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/95px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,MI,Up for re-election in 2026,,,D,MIS02,,,,,,,Y,,,,
